,date,open,close,high,low,volume,code
0,2011-08-03,2.781,2.904,2.938,2.747,193143.0,300251
1,2011-08-04,3.008,2.851,3.02,2.837,91774.0,300251
2,2011-08-05,2.801,2.96,2.993,2.709,95880.0,300251
3,2011-08-08,2.962,2.907,3.003,2.759,74300.0,300251
4,2011-08-09,2.864,3.123,3.198,2.857,84650.0,300251
5,2011-08-10,3.067,3.059,3.202,3.053,62952.0,300251
6,2011-08-11,3.037,3.172,3.232,3.037,40864.0,300251
7,2011-08-12,3.178,3.174,3.25,3.126,35265.0,300251
8,2011-08-15,3.179,3.131,3.21,3.127,29927.0,300251
9,2011-08-16,3.139,3.153,3.218,3.125,27454.0,300251
10,2011-08-17,3.1,3.032,3.136,3.006,38798.0,300251
11,2011-08-18,2.984,3.021,3.076,2.984,23683.0,300251
12,2011-08-19,2.972,2.982,3.013,2.895,28324.0,300251
13,2011-08-22,2.98,2.931,3.031,2.917,17058.0,300251
14,2011-08-23,2.943,3.074,3.08,2.904,27721.0,300251
15,2011-08-24,3.077,3.025,3.165,3.017,29723.0,300251
16,2011-08-25,3.006,2.982,3.038,2.917,20408.0,300251
17,2011-08-26,2.994,3.28,3.28,2.966,45247.0,300251
18,2011-08-29,3.257,3.247,3.291,3.202,23582.0,300251
19,2011-08-30,3.238,3.108,3.276,3.108,23287.0,300251
20,2011-08-31,3.123,3.028,3.134,2.912,31618.0,300251
21,2011-09-01,3.03,2.957,3.037,2.928,15976.0,300251
22,2011-09-02,2.957,2.977,3.013,2.943,14753.0,300251
23,2011-09-05,2.941,2.829,2.943,2.819,21590.0,300251
24,2011-09-06,2.781,2.703,2.827,2.616,24388.0,300251
25,2011-09-07,2.727,2.786,2.806,2.704,15348.0,300251
26,2011-09-08,2.783,2.609,2.811,2.609,18977.0,300251
27,2011-09-09,2.611,2.587,2.694,2.549,19094.0,300251
28,2011-09-13,2.534,2.547,2.59,2.475,13464.0,300251
29,2011-09-14,2.59,2.59,2.613,2.488,10617.0,300251
30,2011-09-15,2.585,2.587,2.676,2.573,11074.0,300251
31,2011-09-16,2.629,2.563,2.629,2.557,8327.0,300251
32,2011-09-19,2.526,2.42,2.527,2.413,11089.0,300251
33,2011-09-20,2.411,2.441,2.474,2.411,8446.0,300251
34,2011-09-21,2.429,2.566,2.588,2.426,9989.0,300251
35,2011-09-22,2.532,2.439,2.565,2.433,6782.0,300251
36,2011-09-23,2.405,2.472,2.503,2.368,6276.0,300251
37,2011-09-26,2.472,2.496,2.537,2.464,6600.0,300251
38,2011-09-27,2.519,2.511,2.588,2.5,9497.0,300251
39,2011-09-28,2.549,2.397,2.552,2.395,6230.0,300251
40,2011-09-29,2.392,2.349,2.426,2.346,7624.0,300251
41,2011-09-30,2.374,2.428,2.432,2.341,6702.0,300251
42,2011-10-10,2.459,2.399,2.535,2.395,6874.0,300251
43,2011-10-11,2.471,2.346,2.492,2.317,9529.0,300251
44,2011-10-12,2.315,2.452,2.467,2.28,13530.0,300251
45,2011-10-13,2.445,2.491,2.542,2.445,15100.0,300251
46,2011-10-14,2.467,2.472,2.53,2.44,7566.0,300251
47,2011-10-18,2.511,2.527,2.609,2.492,27086.0,300251
48,2011-10-19,2.545,2.468,2.62,2.458,18112.0,300251
49,2011-10-20,2.468,2.343,2.469,2.299,11646.0,300251
50,2011-10-21,2.328,2.248,2.354,2.217,8878.0,300251
51,2011-10-24,2.252,2.354,2.386,2.221,8923.0,300251
52,2011-10-25,2.394,2.452,2.491,2.366,16932.0,300251
53,2011-10-26,2.413,2.569,2.694,2.397,29646.0,300251
54,2011-10-27,2.567,2.513,2.589,2.496,17556.0,300251
55,2011-10-28,2.548,2.617,2.687,2.534,23179.0,300251
56,2011-10-31,2.623,2.682,2.723,2.586,20418.0,300251
57,2011-11-01,2.66,2.621,2.702,2.59,16492.0,300251
58,2011-11-02,2.566,2.799,2.836,2.55,28375.0,300251
59,2011-11-03,2.82,2.742,2.849,2.732,35419.0,300251
60,2011-11-04,2.756,2.686,2.805,2.649,28184.0,300251
61,2011-11-07,2.669,2.703,2.778,2.669,16043.0,300251
62,2011-11-08,2.722,2.66,2.722,2.653,9275.0,300251
63,2011-11-09,2.682,2.778,2.784,2.623,24544.0,300251
64,2011-11-10,2.722,2.676,2.789,2.67,20361.0,300251
65,2011-11-11,2.674,2.76,2.884,2.672,21915.0,300251
66,2011-11-14,2.797,2.807,2.84,2.766,13193.0,300251
67,2011-11-15,2.807,2.787,2.844,2.751,13947.0,300251
68,2011-11-16,2.786,2.699,2.798,2.676,14269.0,300251
69,2011-11-17,2.707,2.774,2.845,2.682,16990.0,300251
70,2011-11-18,2.749,2.688,2.805,2.682,16498.0,300251
71,2011-11-21,2.695,2.657,2.7,2.609,12470.0,300251
72,2011-11-22,2.621,2.658,2.686,2.609,8623.0,300251
73,2011-11-23,2.66,2.684,2.723,2.65,9976.0,300251
74,2011-11-24,2.662,2.747,2.797,2.642,12609.0,300251
75,2011-11-25,2.743,2.758,2.797,2.731,12177.0,300251
76,2011-11-28,2.743,2.704,2.774,2.672,11895.0,300251
77,2011-11-29,2.719,2.636,2.719,2.55,19926.0,300251
78,2011-11-30,2.629,2.433,2.629,2.428,14032.0,300251
