,date,open,close,high,low,volume,code
0,2009-11-27,2.163,2.545,2.589,2.163,101041.67,002310
1,2009-11-30,2.687,2.709,2.788,2.578,49209.57,002310
2,2009-12-01,2.651,2.705,2.726,2.604,24883.3,002310
3,2009-12-02,2.775,2.666,2.85,2.633,31457.9,002310
4,2009-12-03,2.644,2.732,2.742,2.641,25146.23,002310
5,2009-12-04,2.694,2.503,2.713,2.469,29279.88,002310
6,2009-12-07,2.491,2.532,2.566,2.482,10437.62,002310
7,2009-12-08,2.535,2.45,2.54,2.418,14537.94,002310
8,2009-12-09,2.425,2.454,2.478,2.404,9034.14,002310
9,2009-12-10,2.466,2.43,2.491,2.412,7633.84,002310
10,2009-12-11,2.432,2.43,2.489,2.422,9036.66,002310
11,2009-12-14,2.423,2.36,2.423,2.294,12370.47,002310
12,2009-12-15,2.362,2.338,2.403,2.331,9293.71,002310
13,2009-12-16,2.338,2.249,2.356,2.229,11474.93,002310
14,2009-12-17,2.257,2.287,2.318,2.196,9979.89,002310
15,2009-12-18,2.246,2.316,2.318,2.209,7821.05,002310
16,2009-12-21,2.301,2.327,2.349,2.294,7290.19,002310
17,2009-12-22,2.315,2.251,2.356,2.251,7366.15,002310
18,2009-12-23,2.229,2.293,2.313,2.229,5706.54,002310
19,2009-12-24,2.283,2.377,2.414,2.273,10126.26,002310
20,2009-12-25,2.366,2.382,2.4,2.345,6731.97,002310
21,2009-12-28,2.391,2.387,2.425,2.346,9784.02,002310
22,2009-12-29,2.374,2.441,2.443,2.36,5427.12,002310
23,2009-12-30,2.441,2.414,2.447,2.372,5252.68,002310
24,2009-12-31,2.4,2.423,2.423,2.367,3661.45,002310
25,2010-01-04,2.436,2.487,2.508,2.421,6907.27,002310
26,2010-01-05,2.594,2.736,2.736,2.589,11354.04,002310
27,2010-01-06,2.81,2.855,3.009,2.803,20096.28,002310
28,2010-01-07,2.838,2.86,2.939,2.819,9978.04,002310
29,2010-01-08,2.842,2.913,3.002,2.841,10915.99,002310
30,2010-01-11,2.864,3.205,3.205,2.864,14092.4,002310
31,2010-01-12,3.201,3.216,3.321,3.168,10774.06,002310
32,2010-01-13,3.173,3.275,3.353,3.172,8435.41,002310
33,2010-01-14,3.256,3.2,3.285,3.157,8992.06,002310
