,date,open,close,high,low,volume,code
0,2010-08-31,11.73,12.818,13.144,11.577,169166.0,002466
1,2010-09-01,12.471,12.596,13.412,11.969,110634.0,002466
2,2010-09-02,12.193,12.424,12.715,12.003,62247.0,002466
3,2010-09-03,12.347,13.667,13.667,12.193,52579.0,002466
4,2010-09-06,14.199,12.918,14.473,12.617,84703.0,002466
5,2010-09-07,12.812,13.185,13.547,12.812,51546.0,002466
6,2010-09-08,12.965,12.892,13.307,12.471,45643.0,002466
7,2010-09-09,12.965,12.57,13.117,12.548,39273.0,002466
8,2010-09-10,12.417,11.892,12.566,11.759,45251.0,002466
9,2010-09-13,11.782,12.1,12.193,11.324,38752.0,002466
10,2010-09-14,11.884,11.853,12.224,11.807,27335.0,002466
11,2010-09-15,11.728,11.031,11.728,10.986,32751.0,002466
12,2010-09-16,10.946,11.139,11.358,10.943,19180.0,002466
13,2010-09-17,11.159,10.387,11.259,10.292,24442.0,002466
14,2010-09-20,10.356,10.159,10.525,9.859,22841.0,002466
15,2010-09-21,10.106,9.683,10.109,9.646,17671.0,002466
16,2010-09-27,9.683,10.168,10.225,9.677,19917.0,002466
17,2010-09-28,10.153,10.19,10.413,9.892,21855.0,002466
18,2010-09-29,10.119,10.637,11.153,10.045,32533.0,002466
19,2010-09-30,10.495,10.665,10.873,10.387,17791.0,002466
20,2010-10-08,10.938,10.866,11.252,10.727,22840.0,002466
21,2010-10-11,10.849,10.626,11.094,10.546,22593.0,002466
22,2010-10-12,10.54,10.646,10.758,10.435,15879.0,002466
23,2010-10-13,10.571,10.48,10.694,10.117,23925.0,002466
24,2010-10-14,10.492,9.938,10.492,9.906,18322.0,002466
25,2010-10-15,9.847,10.341,10.631,9.77,24062.0,002466
26,2010-10-18,10.341,9.878,10.341,9.85,16989.0,002466
27,2010-10-19,9.91,10.298,10.346,9.91,15262.0,002466
28,2010-10-20,10.032,10.603,10.758,9.977,24442.0,002466
29,2010-10-21,10.512,10.458,10.688,10.356,15036.0,002466
30,2010-10-22,10.449,10.633,10.727,10.358,18988.0,002466
31,2010-10-25,10.634,10.83,10.887,10.634,21492.0,002466
32,2010-10-26,10.909,11.128,11.265,10.67,28737.0,002466
33,2010-10-27,11.068,10.79,11.074,10.515,27395.0,002466
34,2010-10-28,10.65,10.634,10.832,10.574,10221.0,002466
35,2010-10-29,10.62,10.711,10.788,10.586,9913.0,002466
36,2010-11-01,10.711,11.069,11.236,10.674,21503.0,002466
37,2010-11-02,11.111,10.829,11.199,10.829,23647.0,002466
38,2010-11-03,10.727,10.231,10.804,10.231,19840.0,002466
39,2010-11-04,10.248,10.325,10.379,10.156,11991.0,002466
40,2010-11-05,10.477,10.41,10.534,10.341,12894.0,002466
41,2010-11-08,10.418,10.634,10.68,10.341,13527.0,002466
42,2010-11-09,10.727,10.717,10.79,10.588,11866.0,002466
43,2010-11-10,10.696,10.935,10.94,10.572,16528.0,002466
44,2010-11-11,10.927,10.727,10.957,10.727,17122.0,002466
45,2010-11-12,10.711,9.754,10.711,9.656,23439.0,002466
46,2010-11-15,9.747,9.984,10.001,9.747,10320.0,002466
47,2010-11-16,9.987,9.839,10.247,9.69,11188.0,002466
48,2010-11-17,9.83,9.705,9.984,9.649,7220.0,002466
49,2010-11-18,9.855,9.97,10.088,9.839,8210.0,002466
50,2010-11-19,10.088,10.123,10.136,9.947,8866.0,002466
51,2010-11-22,10.06,10.191,10.308,10.001,10010.0,002466
52,2010-11-24,10.032,10.332,10.359,9.929,12599.0,002466
53,2010-11-25,10.333,10.285,10.491,10.205,9306.0,002466
54,2010-11-26,10.279,10.048,10.279,10.014,8184.0,002466
55,2010-11-29,10.133,10.16,10.279,10.035,8298.0,002466
56,2010-11-30,10.048,9.87,10.108,9.693,9018.0,002466
57,2010-12-01,9.747,9.369,9.747,9.257,30559.0,002466
58,2010-12-02,9.441,9.49,9.569,9.307,17898.0,002466
59,2010-12-03,9.453,9.355,9.498,9.261,11702.0,002466
60,2010-12-06,9.386,9.119,9.424,9.057,13042.0,002466
61,2010-12-07,9.119,9.137,9.182,8.81,11290.0,002466
62,2010-12-08,9.044,9.18,9.322,9.031,12763.0,002466
63,2010-12-09,9.106,9.271,9.412,9.069,11146.0,002466
64,2010-12-10,9.225,9.186,9.29,8.96,10044.0,002466
65,2010-12-13,8.967,9.336,9.369,8.967,12957.0,002466
66,2010-12-14,9.338,9.628,9.68,9.308,17760.0,002466
67,2010-12-15,9.62,9.461,9.724,9.443,14495.0,002466
68,2010-12-16,9.43,9.384,9.461,9.338,8551.0,002466
69,2010-12-17,9.384,9.395,9.469,9.338,6109.0,002466
70,2010-12-20,9.415,9.211,9.507,9.029,9352.0,002466
71,2010-12-21,9.077,9.321,9.393,9.077,7143.0,002466
72,2010-12-22,9.29,9.216,9.457,9.183,6866.0,002466
73,2010-12-23,9.216,8.998,9.245,8.986,6933.0,002466
74,2010-12-24,8.995,8.728,8.998,8.689,8712.0,002466
75,2010-12-27,8.723,8.463,8.873,8.463,8886.0,002466
