,date,open,close,high,low,volume,code
0,2011-07-28,7.804,8.087,8.759,7.804,275481.0,002602
1,2011-07-29,7.89,8.25,8.358,7.89,151000.0,002602
2,2011-08-01,8.138,8.339,8.584,7.648,135423.0,002602
3,2011-08-02,8.211,8.431,8.743,8.122,143658.0,002602
4,2011-08-03,8.275,8.093,8.399,8.084,89036.0,002602
5,2011-08-04,8.011,8.058,8.183,7.88,66136.0,002602
6,2011-08-05,7.772,7.867,8.116,7.708,56093.0,002602
7,2011-08-08,7.714,7.081,7.829,7.081,73052.0,002602
8,2011-08-09,6.625,6.803,7.004,6.386,62377.0,002602
9,2011-08-10,6.969,6.8,7.087,6.784,47659.0,002602
10,2011-08-11,6.545,6.937,7.01,6.469,49450.0,002602
11,2011-08-12,7.007,7.09,7.297,6.944,54203.0,002602
12,2011-08-15,7.055,7.163,7.218,7.023,44073.0,002602
13,2011-08-16,7.167,7.211,7.294,7.119,43756.0,002602
14,2011-08-17,7.192,7.03,7.243,6.998,33729.0,002602
15,2011-08-18,7.036,6.851,7.068,6.784,27884.0,002602
16,2011-08-19,6.724,7.02,7.163,6.724,49281.0,002602
17,2011-08-22,6.96,7.036,7.176,6.96,29708.0,002602
18,2011-08-23,7.042,7.326,7.326,7.042,52976.0,002602
19,2011-08-24,7.386,7.192,7.386,7.189,48201.0,002602
20,2011-08-26,7.281,7.425,7.533,7.278,63795.0,002602
21,2011-08-29,7.45,7.342,7.482,7.329,37307.0,002602
22,2011-08-30,7.374,7.154,7.431,7.151,29710.0,002602
23,2011-08-31,7.109,6.998,7.144,6.851,26885.0,002602
24,2011-09-01,7.03,6.944,7.119,6.921,18632.0,002602
25,2011-09-02,7.004,6.848,7.004,6.794,14744.0,002602
26,2011-09-05,6.737,6.577,6.803,6.577,15425.0,002602
27,2011-09-06,6.53,6.482,6.606,6.44,17758.0,002602
28,2011-09-07,6.539,6.698,6.705,6.51,18954.0,002602
29,2011-09-08,6.708,6.552,6.772,6.552,19162.0,002602
30,2011-09-09,6.545,6.6,6.647,6.475,12510.0,002602
31,2011-09-13,6.51,6.361,6.51,6.307,14097.0,002602
32,2011-09-14,6.396,6.45,6.45,6.287,11242.0,002602
33,2011-09-15,6.459,6.469,6.558,6.418,15654.0,002602
34,2011-09-16,6.517,6.386,6.545,6.38,10155.0,002602
35,2011-09-19,6.402,6.17,6.402,6.17,10991.0,002602
36,2011-09-20,6.17,6.176,6.249,6.084,9449.0,002602
37,2011-09-21,6.179,6.377,6.399,6.151,16049.0,002602
38,2011-09-22,6.335,6.147,6.37,6.144,13892.0,002602
39,2011-09-23,6.052,6.112,6.141,6.001,10297.0,002602
40,2011-09-26,6.112,6.068,6.186,6.023,8999.0,002602
41,2011-09-27,6.08,6.189,6.23,6.08,14199.0,002602
42,2011-09-28,6.214,6.017,6.272,5.998,11167.0,002602
