,date,open,close,high,low,volume,code
0,2009-10-30,14.268,14.83,20.116,13.099,288101.8,300003
1,2009-11-02,13.347,13.347,14.222,13.347,100654.54,300003
2,2009-11-03,13.34,12.821,13.494,12.706,58731.9,300003
3,2009-11-04,12.982,13.066,13.316,12.823,37741.84,300003
4,2009-11-05,13.052,13.228,13.499,12.748,48746.26,300003
5,2009-11-06,13.099,12.755,13.211,12.713,37296.23,300003
6,2009-11-09,12.631,12.28,12.748,12.276,34291.14,300003
7,2009-11-10,12.283,11.714,12.395,11.695,40886.12,300003
8,2009-11-11,11.719,11.644,11.789,11.405,32992.34,300003
9,2009-11-12,11.623,11.77,11.88,11.504,23462.31,300003
10,2009-11-13,11.761,12.397,12.598,11.672,46659.56,300003
11,2009-11-16,12.369,12.201,12.369,12.058,27822.51,300003
12,2009-11-17,12.14,12.163,12.432,12.095,15979.54,300003
13,2009-11-18,12.187,12.414,12.514,12.14,25668.0,300003
14,2009-11-19,12.437,13.286,13.649,12.392,71449.62,300003
15,2009-11-20,13.199,13.237,13.609,12.842,32842.33,300003
16,2009-11-23,13.188,13.349,13.567,13.129,25459.9,300003
17,2009-11-24,13.398,12.28,13.539,12.023,36929.41,300003
18,2009-11-25,12.163,12.722,12.818,12.021,31067.77,300003
19,2009-11-26,12.631,12.367,12.867,12.238,28770.13,300003
20,2009-11-27,12.385,13.157,13.181,12.259,49604.47,300003
21,2009-11-30,13.164,13.129,13.167,12.631,29785.31,300003
22,2009-12-01,13.005,13.23,13.361,12.895,29187.59,300003
23,2009-12-02,13.251,13.922,14.1,13.183,58358.1,300003
24,2009-12-03,13.953,14.643,14.736,13.686,55313.22,300003
25,2009-12-04,14.175,13.305,14.376,13.178,61365.67,300003
26,2009-12-07,13.216,13.518,13.613,12.83,22907.97,300003
27,2009-12-08,13.52,13.787,14.032,13.286,27536.76,300003
28,2009-12-09,13.684,13.866,14.268,13.609,36794.95,300003
29,2009-12-10,13.801,13.557,14.006,13.457,19705.78,300003
30,2009-12-11,13.567,13.146,13.695,12.867,21115.5,300003
31,2009-12-14,13.197,12.94,13.204,12.678,15445.61,300003
32,2009-12-15,13.005,12.959,13.26,12.895,12563.92,300003
33,2009-12-16,13.029,13.08,13.286,12.678,26944.23,300003
34,2009-12-17,12.912,12.166,12.935,12.07,20837.62,300003
35,2009-12-18,11.932,12.189,12.603,11.462,22176.76,300003
36,2009-12-21,12.191,12.203,12.369,12.049,9201.44,300003
37,2009-12-22,12.128,11.674,12.276,11.597,11955.5,300003
38,2009-12-23,11.672,11.974,12.049,11.672,12602.67,300003
39,2009-12-24,11.929,12.163,12.163,11.766,12095.03,300003
40,2009-12-25,12.168,11.838,12.168,11.808,14078.61,300003
