,date,open,close,high,low,volume,code
0,2008-01-02,12.377,12.111,12.41,11.779,210519.21,000783
1,2008-01-03,11.983,12.19,12.334,11.947,122430.2,000783
2,2008-01-04,12.229,12.738,12.899,12.229,175669.95,000783
3,2008-01-07,12.64,12.722,13.211,12.436,148459.07,000783
4,2008-01-08,12.902,12.479,13.132,12.403,147976.52,000783
5,2008-01-09,12.387,12.525,12.732,12.354,80853.14,000783
6,2008-01-10,12.689,12.443,12.738,12.397,99954.77,000783
7,2008-01-11,12.479,12.246,12.535,12.147,92645.38,000783
8,2008-01-14,12.249,12.403,12.571,12.249,79878.52,000783
9,2008-01-15,12.475,12.246,12.574,12.216,75164.83,000783
10,2008-01-16,12.147,11.825,12.147,11.806,98955.64,000783
11,2008-01-17,11.756,11.346,11.95,11.064,91559.24,000783
12,2008-01-18,11.346,11.507,11.553,11.221,48618.69,000783
13,2008-01-21,11.491,10.515,11.53,10.473,72099.1,000783
14,2008-01-22,10.466,9.465,10.466,9.465,90514.9,000783
15,2008-01-23,9.524,9.665,9.846,9.061,80935.56,000783
16,2008-01-24,9.783,9.517,9.875,9.357,71503.15,000783
17,2008-01-25,9.517,10.039,10.167,9.235,101534.51,000783
18,2008-01-28,9.833,9.035,9.833,9.035,75490.92,000783
19,2008-01-29,9.045,9.055,9.242,8.749,58296.91,000783
20,2008-01-30,9.196,9.018,9.291,8.664,54297.46,000783
21,2008-01-31,8.844,9.087,9.238,8.769,53271.29,000783
22,2008-02-01,9.025,8.644,9.192,8.224,55992.81,000783
23,2008-02-04,8.864,9.327,9.33,8.766,74130.89,000783
24,2008-02-05,9.127,9.294,9.324,9.002,52393.42,000783
25,2008-02-13,9.11,8.963,9.186,8.877,29696.53,000783
26,2008-02-14,9.091,9.258,9.304,9.081,36315.11,000783
27,2008-02-15,9.127,9.127,9.189,8.831,35371.07,000783
28,2008-02-18,9.209,9.34,9.452,9.192,49629.16,000783
29,2008-02-19,9.347,9.613,9.619,9.192,59905.93,000783
30,2008-02-20,9.645,9.728,9.816,9.265,75947.42,000783
31,2008-02-21,9.439,9.366,9.557,9.248,47080.59,000783
32,2008-02-22,9.199,8.736,9.219,8.684,65130.06,000783
33,2008-02-25,8.769,7.961,8.835,7.938,50587.04,000783
34,2008-02-26,8.185,8.112,8.29,7.896,39386.85,000783
35,2008-02-27,8.191,8.483,8.608,8.102,43955.78,000783
36,2008-02-28,8.487,8.24,8.487,8.214,28363.74,000783
37,2008-02-29,8.208,8.273,8.365,8.175,25875.83,000783
38,2008-03-03,8.208,8.493,8.588,8.047,47875.73,000783
39,2008-03-04,8.539,8.198,8.602,8.158,42125.84,000783
40,2008-03-05,8.119,8.043,8.267,7.873,40106.93,000783
41,2008-03-06,8.06,8.267,8.454,7.997,49053.2,000783
42,2008-03-07,8.171,8.04,8.171,7.978,28496.25,000783
43,2008-03-10,7.994,7.84,8.122,7.814,30742.4,000783
44,2008-03-11,7.774,7.869,7.925,7.633,21979.1,000783
45,2008-03-12,8.047,7.308,8.086,7.305,44946.31,000783
46,2008-03-13,7.19,6.786,7.19,6.697,63793.2,000783
47,2008-03-14,6.747,6.865,6.993,6.701,28780.42,000783
48,2008-03-17,6.934,6.645,7.091,6.632,46809.63,000783
49,2008-03-18,6.586,6.044,6.72,5.982,69802.91,000783
50,2008-03-19,6.231,6.126,6.297,5.88,45062.3,000783
51,2008-03-20,5.972,6.248,6.336,5.68,66624.46,000783
52,2008-03-21,6.172,6.287,6.399,6.143,39666.77,000783
53,2008-03-24,6.392,6.008,6.454,5.975,39840.73,000783
54,2008-03-25,5.909,6.074,6.106,5.712,34554.7,000783
55,2008-03-26,6.08,6.126,6.33,6.047,29875.25,000783
56,2008-03-27,5.975,5.706,5.975,5.647,35459.16,000783
57,2008-03-28,5.647,6.139,6.156,5.607,51284.04,000783
58,2008-03-31,6.1,5.962,6.133,5.913,33320.95,000783
59,2008-04-01,5.923,5.663,6.074,5.522,59367.37,000783
60,2008-04-02,5.758,5.676,5.877,5.387,47748.72,000783
61,2008-04-03,5.515,5.726,5.804,5.384,34244.43,000783
62,2008-04-07,5.63,6.297,6.297,5.535,93235.71,000783
63,2008-04-08,6.435,6.678,6.927,6.363,235858.68,000783
64,2008-04-09,6.5,6.238,6.75,6.238,134357.74,000783
65,2008-04-10,6.317,6.704,6.707,6.248,100179.41,000783
66,2008-04-11,6.714,6.53,6.793,6.484,71588.91,000783
67,2008-04-14,6.244,5.877,6.369,5.877,67228.99,000783
68,2008-04-15,5.745,6.271,6.28,5.706,61081.78,000783
69,2008-04-16,6.198,5.909,6.198,5.811,46206.86,000783
70,2008-04-17,5.975,5.696,6.106,5.581,38710.1,000783
71,2008-04-18,5.614,5.401,5.716,5.351,41387.36,000783
72,2008-04-21,5.877,5.785,5.942,5.581,124958.48,000783
73,2008-04-22,5.584,5.831,5.992,5.253,93734.19,000783
74,2008-04-23,5.673,6.221,6.29,5.581,146211.55,000783
75,2008-04-25,6.845,6.845,6.845,6.845,7057.45,000783
76,2008-04-28,7.531,7.531,7.531,7.472,383228.53,000783
77,2008-04-29,7.351,8.283,8.283,7.255,467345.16,000783
78,2008-04-30,8.572,8.897,9.084,8.572,416471.45,000783
79,2008-05-05,8.867,8.923,9.284,8.496,285991.45,000783
80,2008-05-06,8.716,9.816,9.816,8.536,405485.4,000783
81,2008-05-07,9.685,9.258,10.145,9.192,490277.41,000783
82,2008-05-08,8.943,9.389,9.718,8.733,328772.03,000783
83,2008-05-09,9.32,9.018,9.511,8.638,230764.68,000783
84,2008-05-13,8.963,8.864,9.458,8.864,237702.85,000783
85,2008-05-14,8.762,9.009,9.389,8.641,188177.17,000783
86,2008-05-15,9.032,9.127,9.455,8.989,154393.2,000783
87,2008-05-16,9.189,9.652,9.836,8.923,347390.84,000783
88,2008-05-19,9.521,9.242,9.619,9.229,164315.47,000783
89,2008-05-20,9.156,8.319,9.324,8.319,205704.61,000783
90,2008-05-21,8.053,8.454,8.733,7.626,190990.8,000783
91,2008-05-22,8.171,7.988,8.434,7.978,129532.39,000783
92,2008-05-23,7.846,7.672,8.142,7.587,98291.35,000783
93,2008-05-26,7.456,7.026,7.502,7.026,126014.79,000783
94,2008-05-27,6.98,7.475,7.617,6.98,168186.63,000783
95,2008-05-28,7.384,7.997,8.204,7.223,191713.28,000783
96,2008-05-29,7.978,7.617,8.299,7.617,172181.42,000783
97,2008-05-30,7.666,8.145,8.355,7.551,207461.84,000783
98,2008-06-02,8.04,8.171,8.434,7.935,181207.63,000783
99,2008-06-03,8.02,7.912,8.24,7.85,116100.65,000783
100,2008-06-04,7.863,7.85,8.034,7.715,82438.95,000783
101,2008-06-05,7.748,7.994,8.204,7.623,116994.06,000783
102,2008-06-06,7.997,8.011,8.208,7.879,107732.35,000783
103,2008-06-10,7.485,7.246,7.718,7.21,131178.22,000783
104,2008-06-11,7.19,7.535,7.666,7.042,138088.99,000783
105,2008-06-12,7.387,7.042,7.551,6.783,129401.71,000783
106,2008-06-13,6.967,6.369,7.157,6.353,104193.22,000783
107,2008-06-16,6.369,6.051,6.559,5.926,87880.87,000783
108,2008-06-17,6.054,5.447,6.169,5.447,122360.2,000783
109,2008-06-18,5.335,5.909,5.926,4.993,187218.89,000783
110,2008-06-19,5.732,5.319,6.074,5.319,150727.71,000783
111,2008-06-23,5.712,5.496,5.712,5.384,138157.66,000783
112,2008-06-24,5.384,5.867,5.975,5.351,159134.95,000783
113,2008-06-25,5.781,6.454,6.454,5.781,269479.8,000783
114,2008-06-26,6.402,6.523,6.665,6.333,243306.3,000783
115,2008-06-27,6.271,6.001,6.363,5.87,188118.04,000783
116,2008-06-30,5.781,6.064,6.238,5.762,111133.35,000783
117,2008-07-01,6.064,5.795,6.166,5.745,86043.29,000783
118,2008-07-02,5.752,5.863,5.975,5.673,78713.92,000783
119,2008-07-03,5.588,6.067,6.303,5.519,137679.83,000783
120,2008-07-04,6.034,6.041,6.238,5.903,129766.1,000783
121,2008-07-07,5.982,6.376,6.563,5.982,135915.82,000783
122,2008-07-08,6.399,6.3,6.494,6.166,113626.49,000783
123,2008-07-09,6.369,6.507,6.615,6.356,142439.03,000783
124,2008-07-10,6.431,6.205,6.468,6.198,114574.73,000783
125,2008-07-11,6.123,5.995,6.189,5.791,106474.13,000783
126,2008-07-14,5.811,6.09,6.284,5.749,93165.95,000783
127,2008-07-15,6.156,5.811,6.238,5.795,89021.09,000783
128,2008-07-16,5.762,5.607,5.837,5.486,68155.77,000783
129,2008-07-17,5.742,5.614,5.844,5.578,56426.13,000783
130,2008-07-18,5.673,5.982,5.992,5.614,62188.32,000783
131,2008-07-21,5.942,6.114,6.171,5.874,93680.65,000783
132,2008-07-22,6.255,6.299,6.482,6.255,131922.43,000783
133,2008-07-23,6.347,6.124,6.465,6.12,86973.9,000783
134,2008-07-24,6.195,6.397,6.448,6.144,134331.83,000783
135,2008-07-25,6.377,6.33,6.505,6.245,118429.04,000783
136,2008-07-28,6.394,6.279,6.445,6.249,61453.94,000783
137,2008-07-29,6.141,5.992,6.144,5.975,75592.64,000783
138,2008-07-30,6.134,6.012,6.134,5.908,38151.19,000783
139,2008-07-31,6.016,5.773,6.077,5.773,49188.28,000783
140,2008-08-01,5.698,6.066,6.242,5.563,88054.96,000783
141,2008-08-04,5.935,5.759,6.006,5.705,44893.0,000783
142,2008-08-05,5.773,5.702,5.857,5.671,37504.86,000783
143,2008-08-06,5.773,5.877,5.958,5.658,57884.02,000783
144,2008-08-07,5.888,5.783,5.904,5.638,41115.57,000783
145,2008-08-08,5.806,5.31,5.806,5.27,48653.94,000783
146,2008-08-11,5.283,4.78,5.287,4.78,46625.24,000783
147,2008-08-12,4.581,4.399,4.723,4.395,55625.09,000783
148,2008-08-13,4.389,4.551,4.713,4.159,72410.44,000783
149,2008-08-14,4.487,4.493,4.655,4.389,54564.07,000783
150,2008-08-15,4.389,4.446,4.615,4.328,45864.49,000783
151,2008-08-18,4.443,4.0,4.51,4.0,47299.2,000783
152,2008-08-19,3.845,4.034,4.061,3.801,49563.58,000783
153,2008-08-20,3.967,4.439,4.439,3.889,83824.41,000783
154,2008-08-21,4.541,4.709,4.885,4.49,269214.94,000783
155,2008-08-22,4.625,4.763,4.956,4.429,210179.73,000783
156,2008-08-25,4.753,4.618,4.875,4.541,113376.15,000783
157,2008-08-26,4.389,4.284,4.51,4.156,123705.26,000783
158,2008-08-27,4.223,4.48,4.692,4.22,129753.48,000783
159,2008-08-28,4.409,4.48,4.686,4.409,102039.54,000783
160,2008-08-29,4.51,4.736,4.895,4.426,149800.4,000783
161,2008-09-01,4.659,4.426,4.672,4.416,101595.76,000783
162,2008-09-02,4.321,4.514,4.659,4.287,84556.83,000783
163,2008-09-03,4.453,4.51,4.625,4.254,91948.5,000783
164,2008-09-04,4.449,4.568,4.659,4.348,109998.81,000783
165,2008-09-05,4.422,4.338,4.584,4.304,92230.53,000783
166,2008-09-08,4.389,4.203,4.51,4.169,84469.75,000783
167,2008-09-09,4.277,4.26,4.304,4.102,65990.84,000783
168,2008-09-10,4.355,4.466,4.659,4.254,132139.04,000783
169,2008-09-11,4.389,4.514,4.638,4.308,120039.44,000783
170,2008-09-12,4.517,4.578,4.726,4.49,165520.83,000783
171,2008-09-16,4.517,4.321,4.537,4.257,117175.62,000783
172,2008-09-17,4.304,4.26,4.439,4.22,71364.16,000783
173,2008-09-18,4.102,4.034,4.247,3.835,117230.6,000783
174,2008-09-19,4.439,4.439,4.439,4.439,20060.53,000783
175,2008-09-22,4.885,4.885,4.885,4.686,267842.56,000783
176,2008-09-23,4.73,5.104,5.347,4.723,404469.42,000783
177,2008-09-24,4.929,5.388,5.388,4.898,270684.14,000783
178,2008-09-25,5.928,5.891,5.928,5.671,385216.56,000783
179,2008-09-26,5.854,5.874,5.972,5.641,292133.88,000783
180,2008-10-06,5.908,6.313,6.448,5.688,373008.39,000783
181,2008-10-07,5.84,5.682,5.921,5.682,219825.99,000783
182,2008-10-08,5.28,5.114,5.361,5.114,180069.0,000783
183,2008-10-09,5.216,5.033,5.395,5.03,184666.59,000783
184,2008-10-10,4.659,4.652,4.929,4.541,166072.64,000783
185,2008-10-13,4.652,5.114,5.114,4.385,181430.37,000783
186,2008-10-14,5.395,4.608,5.395,4.605,240743.35,000783
187,2008-10-15,4.49,4.584,4.706,4.419,92089.66,000783
188,2008-10-16,4.348,4.152,4.443,4.149,136473.27,000783
189,2008-10-17,4.254,4.281,4.365,4.189,94868.85,000783
190,2008-10-20,4.227,4.655,4.709,4.119,128336.06,000783
191,2008-10-21,4.591,4.497,4.784,4.473,136553.7,000783
192,2008-10-22,4.379,4.385,4.601,4.341,81638.66,000783
193,2008-10-23,4.27,4.561,4.645,4.237,118338.83,000783
194,2008-10-24,4.524,4.49,4.652,4.389,105475.56,000783
195,2008-10-27,4.389,4.051,4.49,4.051,110695.87,000783
196,2008-10-28,3.96,4.348,4.422,3.923,166828.12,000783
197,2008-10-29,4.406,4.075,4.449,4.051,122550.24,000783
198,2008-10-30,4.22,4.146,4.281,4.102,96856.46,000783
199,2008-10-31,4.092,4.135,4.237,3.987,87349.59,000783
200,2008-11-03,4.021,3.724,4.048,3.724,122514.93,000783
201,2008-11-04,3.585,3.352,3.666,3.352,162126.16,000783
202,2008-11-05,3.346,3.389,3.572,3.275,177424.21,000783
203,2008-11-06,3.241,3.302,3.433,3.099,135804.48,000783
204,2008-11-07,3.156,3.356,3.427,3.143,123549.52,000783
205,2008-11-10,3.42,3.683,3.686,3.416,170263.98,000783
206,2008-11-11,3.646,3.497,3.713,3.491,148221.63,000783
207,2008-11-12,3.45,3.626,3.653,3.43,124064.86,000783
208,2008-11-13,3.545,3.801,3.909,3.511,215332.96,000783
209,2008-11-14,3.862,4.092,4.156,3.751,247766.14,000783
210,2008-11-17,4.021,4.115,4.179,3.967,182246.85,000783
211,2008-11-18,4.071,3.703,4.304,3.703,222194.02,000783
212,2008-11-19,3.73,3.967,4.024,3.68,159957.73,000783
213,2008-11-20,3.876,3.872,4.021,3.791,138584.96,000783
214,2008-11-21,3.71,3.744,3.913,3.511,161471.21,000783
215,2008-11-24,3.734,3.514,3.778,3.511,95258.5,000783
216,2008-11-25,3.626,3.612,3.707,3.497,101638.45,000783
217,2008-11-26,3.605,3.562,3.646,3.538,74386.42,000783
218,2008-11-27,3.899,3.646,3.899,3.636,166031.44,000783
219,2008-12-01,3.447,3.477,3.555,3.308,177195.61,000783
