,date,open,close,high,low,volume,code
0,2008-01-02,5.823,6.22,6.241,5.737,23165.06,600588
1,2008-01-03,6.212,6.442,6.634,6.122,28904.2,600588
2,2008-01-04,6.443,6.473,6.546,6.363,13261.15,600588
3,2008-01-07,6.474,6.697,6.798,6.408,19363.46,600588
4,2008-01-08,6.706,6.61,6.706,6.477,12665.11,600588
5,2008-01-09,6.523,6.636,6.637,6.483,7807.22,600588
6,2008-01-10,6.649,6.7,6.743,6.637,11609.6,600588
7,2008-01-11,6.708,6.513,6.735,6.455,11531.1,600588
8,2008-01-14,6.466,6.804,6.843,6.466,13150.57,600588
9,2008-01-15,6.852,6.772,6.854,6.717,7024.08,600588
10,2008-01-16,6.77,6.727,6.77,6.578,14231.19,600588
11,2008-01-17,6.637,6.674,6.695,6.248,16048.9,600588
12,2008-01-18,6.658,6.589,6.658,6.468,10274.19,600588
13,2008-01-21,6.58,6.519,6.763,6.408,10902.0,600588
14,2008-01-22,6.42,6.059,6.42,5.903,19566.04,600588
15,2008-01-23,6.127,6.499,6.523,6.053,16087.98,600588
16,2008-01-24,6.527,6.88,6.967,6.469,17742.73,600588
17,2008-01-25,6.818,6.762,6.887,6.673,9571.85,600588
18,2008-01-28,6.706,6.614,6.981,6.351,13763.89,600588
19,2008-01-29,6.63,6.388,6.752,6.315,9320.84,600588
20,2008-01-30,6.42,6.378,6.522,6.063,9998.97,600588
21,2008-01-31,6.378,6.397,6.637,6.079,9620.15,600588
22,2008-02-01,6.351,6.176,6.473,5.952,7120.6,600588
23,2008-02-04,6.328,6.517,6.523,6.317,16472.99,600588
24,2008-02-05,6.489,6.42,6.522,6.308,5130.08,600588
25,2008-02-13,6.386,6.392,6.523,6.18,5223.06,600588
26,2008-02-14,6.408,6.388,6.521,6.352,6058.36,600588
27,2008-02-15,6.388,6.371,6.408,6.126,6012.02,600588
28,2008-02-18,6.403,6.498,6.546,6.36,9372.23,600588
29,2008-02-19,6.521,6.6,6.695,6.5,7083.86,600588
30,2008-02-20,6.61,6.836,6.942,6.58,17069.34,600588
31,2008-02-21,6.752,7.081,7.116,6.696,18042.13,600588
32,2008-02-22,7.096,6.871,7.116,6.803,9221.94,600588
33,2008-02-25,6.696,6.522,6.866,6.487,11136.36,600588
34,2008-02-26,6.643,6.283,6.738,6.14,9239.44,600588
35,2008-02-27,6.613,6.521,6.613,6.318,7150.4,600588
36,2008-02-28,6.569,6.606,6.807,6.569,6513.47,600588
37,2008-02-29,6.649,6.661,6.749,6.58,4376.36,600588
38,2008-03-03,6.664,7.084,7.124,6.66,14191.74,600588
39,2008-03-04,7.084,7.079,7.326,7.038,14194.59,600588
40,2008-03-05,7.324,7.624,7.787,7.209,47746.98,600588
41,2008-03-06,7.577,7.324,7.69,7.272,25170.2,600588
42,2008-03-07,7.308,7.484,7.666,7.187,15989.44,600588
43,2008-03-10,7.438,7.318,7.644,7.278,10299.73,600588
44,2008-03-11,7.278,7.215,7.39,7.015,10230.68,600588
45,2008-03-12,7.361,6.946,7.402,6.901,16241.0,600588
46,2008-03-13,6.809,6.737,6.923,6.557,14244.36,600588
47,2008-03-14,6.739,6.876,6.967,6.566,9474.86,600588
48,2008-03-17,6.803,6.368,6.866,6.36,10759.25,600588
49,2008-03-18,6.295,6.212,6.408,5.895,13853.19,600588
50,2008-03-19,6.294,6.372,6.523,6.178,9187.57,600588
51,2008-03-20,6.348,6.617,6.649,5.962,11350.28,600588
52,2008-03-21,6.589,6.579,6.749,6.484,7969.87,600588
53,2008-03-24,6.484,6.262,6.693,6.166,14647.77,600588
54,2008-03-26,6.328,6.337,6.637,6.158,16073.75,600588
55,2008-03-27,6.337,6.475,6.66,6.208,17693.97,600588
56,2008-03-28,6.408,6.62,6.66,6.386,10839.48,600588
57,2008-03-31,6.522,6.421,6.579,6.391,13237.54,600588
58,2008-04-01,6.354,5.892,6.431,5.779,14706.44,600588
59,2008-04-02,5.929,5.92,6.136,5.836,12120.82,600588
60,2008-04-03,5.928,6.159,6.197,5.683,8683.84,600588
61,2008-04-07,6.214,6.613,6.658,6.177,16153.43,600588
62,2008-04-08,6.637,6.613,6.729,6.498,13240.3,600588
63,2008-04-09,6.579,6.698,6.865,6.523,14014.6,600588
